new entry "LX_FoulWinds"
type "Character"
data "Strength" "0"
data "Finesse" "0"
data "Intelligence" "0"
data "Constitution" "0"
data "Memory" "0"
data "Wits" "0"
data "Vitality" "1000"
data "PiercingResistance" "100"
data "PhysicalResistance" "100"
data "FireResistance" "100"
data "EarthResistance" "100"
data "WaterResistance" "100"
data "AirResistance" "100"
data "PoisonResistance" "100"
data "Flags" "FreezeImmunity;BurnImmunity;StunImmunity;PoisonImmunity;CharmImmunity;KnockdownImmunity;FearImmunity;MuteImmunity;ChilledImmunity;WarmImmunity;WetImmunity;BleedingImmunity;CrippledImmunity;BlindImmunity;CursedImmunity;WeakImmunity;DiseasedImmunity;SlowedImmunity;InfectiousDiseasedImmunity;PetrifiedImmunity;DrunkImmunity;FreezeContact;SlippingImmunity;BurnContact;StunContact;PoisonContact;ChillContact;HastedImmunity;TauntedImmunity;SleepingImmunity;AcidImmunity;RegeneratingImmunity;SuffocatingImmunity;DisarmedImmunity;DecayingImmunity;ClairvoyantImmunity;EnragedImmunity;BlessedImmunity;Floating;IgnoreClouds;ShockedImmunity;WebImmunity;ShacklesOfPainImmunity;ThrownImmunity;InvisibilityImmunity;ChickenImmunity;MadnessImmunity;IgnoreCursedOil"

