new entry "Shout_SRP_Careful"
type "SkillData"
data "SkillType" "Shout"
data "ForGameMaster" "Yes"
data "Ability" "None"
data "ActionPoints" "1"
data "Cooldown" "4"
data "AIFlags" "CanNotUse"
data "SkillProperties" "SRP_AVOIDDEATH,100,1"
data "AreaRadius" "20"
data "AddWeaponRange" "No"
data "TargetConditions" "Self"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Autocast" "No"
data "Icon" "Skill_Decay_DemonicBargain"
data "DisplayName" "Shout_SRP_Careful_DisplayName"
data "DisplayNameRef" "Self-control"
data "Description" "Shout_SRP_Careful_Description"
data "DescriptionRef" "The character restraint their power to increase the chances to knock out enemies instead of killing them. Reduce damage by 30% and critical chance by 100% to increase your chances of knocking enemies unconscious by 50%."
data "FXScale" "50"
data "PrepareAnimationInit" "skill_prepare_shout_01_start"
data "PrepareAnimationLoop" "skill_prepare_shout_01_loop"
data "PrepareEffect" "RS3_FX_Dice,KeepRot:Dummy_Root"
data "CastAnimation" "skill_cast_shout_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Dice_Cast:Dummy_Root;RS3_FX_Overhead_Dice_Red:Dummy_OverheadFX"
data "Magic Cost" "0"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
