new entry "LX_TENEBRIUM_GALVANISED"
type "StatusData"
data "StatusType" "CONSUME"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "DisplayName" "GALVANISED_DisplayName"
data "DisplayNameRef" "Galvanised"
data "Description" "GALVANISED_Description"
data "DescriptionRef" "Character has been galvanised."
data "Icon" "statIcons_Invulnerable"
data "FormatColor" "Red"
data "StatusEffect" "RS3_FX_GP_Status_Invulnerable_01,KeepRot:Dummy_BodyFX"
data "StatsId" "Stats_LX_TenebriumGalvanised"
data "StackId" "Stack_Invulnerable"
data "IsInvulnerable" "Yes"
data "IsChanneled" "Yes"
