new entry "Cone_TEN_EnergyBlast"
type "SkillData"
data "SkillType" "Cone"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Source"
data "ActionPoints" "2"
data "Cooldown" "5"
data "Damage" "BaseLevelDamage"
data "Damage Multiplier" "75"
data "Damage Range" "20"
data "DamageType" "Shadow"
data "Range" "7"
data "Angle" "120"
data "DeathType" "DoT"
data "SurfaceType" "Sentinel"
data "IgnoreCursed" "Yes"
data "SurfaceStatusChance" "0"
data "SurfaceGrowStep" "50"
data "SurfaceGrowInterval" "50"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "Icon" "skill_energyblast"
data "DisplayName" "Cone_TEN_EnergyBlast_DisplayName"
data "DisplayNameRef" "Energy Blast"
data "Description" "Cone_TEN_EnergyBlast_Description"
data "DescriptionRef" "Shove targets with a blast of Tenebrium, pushing them 4 meters and dealing [1]."
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_winterbreath_start"
data "PrepareAnimationLoop" "skill_winterbreath_loop"
data "PrepareEffect" "RS3_FX_Skills_Tenebrium_Prepare_Divine_Shout_Root_01,KeepRot:Dummy_Root;RS3_FX_Skills_Tenebrium_Prepare_Hands_01:Dummy_R_HandFX;RS3_FX_Skills_Tenebrium_Prepare_Hands_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_beam_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Tenebrium_ShadowBolt_Cast_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Tenebrium_Blast_Cast_01:Dummy_CastFX:cast"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Requirements" "Tag SRP_TE15"
data "MemorizationRequirements" "Sourcery 2"
data "PushDistance" "5"
data "BackStart" "50"
data "FrontOffset" "3"
data "CycleConditions" "Enemy"

