new entry "Summon_TEN_FoulWinds"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "Yes"
data "Ability" "Source"
data "Tier" "Adept"
data "ActionPoints" "3"
data "Cooldown" "6"
data "Lifetime" "0"
data "SummonLevel" "-1"
data "Requirements" "Tag SRP_TE40"
data "MemorizationRequirements" "Sourcery 3"
data "SkillProperties" "CreateSurface,5,,None"
data "AreaRadius" "5"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Template" "8837bd64-0ba8-4f80-8e24-184ffdf16f08"
data "Totem" "Yes"
data "TargetRadius" "13"
data "SummonCount" "0"
data "Icon" "skill_foul_winds"
data "DisplayName" "Summon_TEN_FoulWinds_DisplayName"
data "DisplayNameRef" "Foul Winds"
data "Description" "Summon_TEN_FoulWinds_Description"
data "DescriptionRef" "Call out strong gusts dragging characters in the air (except if they are Fortified, Petrified, Grounded or huge) and shoving them in random directions. Deal [1] in the area 12 times."
data "StatsDescriptionParams" "Skill:Projectile_TEN_FoulWind_Tick:Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Tenebrium_Prepare_Divine_Shout_Root_01,KeepRot:Dummy_Root;RS3_FX_Skills_Tenebrium_Prepare_Hands_01:Dummy_R_HandFX;RS3_FX_Skills_Tenebrium_Prepare_Hands_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_aoe_divine_01_cast"
data "CastTextEvent" "cast"
data "CastEffectTextEvent" "cast"

