new entry "TEN_POOL"
type "StatusData"
data "StatusType" "DAMAGE"
data "ForGameMaster" "No"
data "InitiateCombat" "Yes"
data "DisplayName" "TEN_POOL_DisplayName"
data "DisplayNameRef" "Silked Up"
data "Description" "TEN_POOL_Description"
data "DescriptionRef" "Deals [1] damage per turn."
data "DescriptionParams" "Damage"
data "Icon" "skill_hollow_pool"
data "FormatColor" "Blackrock"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "No"
data "MaterialApplyNormalMap" "No"
data "MaterialFadeAmount" "2000"
data "MaterialOverlayOffset" "10000"
data "SavingThrow" "None"
data "ImmuneFlag" "None"
data "StatsId" "Stats_TEN_HollowPool"
data "StackId" "Stack_TEN_HollowPool"
data "DamageEvent" "OnApplyAndTurn"
data "DamageStats" "TEN_Damage_HollowPool"
data "DeathType" "DoT"
data "DamageCharacters" "Yes"
data "DamageItems" "No"
data "DamageTorches" "No"
data "PermanentOnTorch" "No"
data "SpawnBlood" "No"

