new entry "SRP_COMBATINVIS"
type "StatusData"
data "StatusType" "INVISIBLE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "No"
data "DisplayName" "SRP_COMBATINVIS_DisplayName"
data "DisplayNameRef" "Non spotted"
data "Description" "SRP_COMBATINVIS_Description"
data "DescriptionRef" "This character has not been spotted before combat start."
data "Icon" "statIcons_WalkShadow"
data "FormatColor" "White"
data "StatusEffect" "RS3_FX_GP_Status_ChameleonSkin_03"
data "MaterialType" "Replacement"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "No"
data "SoundStart" "Status_Tex_Invisible_Start"
data "SoundLoop" "Status_Tex_Invisible_Loop"
data "SoundStop" "Status_Tex_Invisible_Stop"
data "StatsId" "Stats_Invisible"
data "StackId" "Stack_RPInvisibility"

